Date,sulfate,nitrate,ID
1/1/2004,NA,NA,12
1/2/2004,NA,NA,12
1/3/2004,NA,NA,12
1/4/2004,NA,NA,12
1/5/2004,NA,NA,12
1/6/2004,NA,NA,12
1/7/2004,NA,NA,12
1/8/2004,NA,NA,12
1/9/2004,NA,NA,12
1/10/2004,NA,NA,12
1/11/2004,NA,NA,12
1/12/2004,NA,NA,12
1/13/2004,NA,NA,12
1/14/2004,NA,NA,12
1/15/2004,NA,NA,12
1/16/2004,NA,NA,12
1/17/2004,NA,NA,12
1/18/2004,NA,NA,12
1/19/2004,NA,NA,12
1/20/2004,NA,NA,12
1/21/2004,NA,NA,12
1/22/2004,NA,NA,12
1/23/2004,NA,NA,12
1/24/2004,NA,NA,12
1/25/2004,NA,NA,12
1/26/2004,NA,NA,12
1/27/2004,NA,NA,12
1/28/2004,NA,NA,12
1/29/2004,NA,NA,12
1/30/2004,NA,NA,12
1/31/2004,NA,NA,12
2/1/2004,NA,NA,12
2/2/2004,NA,NA,12
2/3/2004,NA,NA,12
2/4/2004,NA,NA,12
2/5/2004,NA,NA,12
2/6/2004,NA,NA,12
2/7/2004,NA,NA,12
2/8/2004,NA,NA,12
2/9/2004,NA,NA,12
2/10/2004,NA,NA,12
2/11/2004,NA,NA,12
2/12/2004,NA,NA,12
2/13/2004,NA,NA,12
2/14/2004,NA,NA,12
2/15/2004,NA,NA,12
2/16/2004,NA,NA,12
2/17/2004,NA,NA,12
2/18/2004,NA,NA,12
2/19/2004,NA,NA,12
2/20/2004,NA,NA,12
2/21/2004,NA,NA,12
2/22/2004,NA,NA,12
2/23/2004,NA,NA,12
2/24/2004,NA,NA,12
2/25/2004,NA,NA,12
2/26/2004,NA,NA,12
2/27/2004,NA,NA,12
2/28/2004,NA,NA,12
2/29/2004,NA,NA,12
3/1/2004,NA,NA,12
3/2/2004,NA,NA,12
3/3/2004,NA,NA,12
3/4/2004,NA,NA,12
3/5/2004,NA,NA,12
3/6/2004,NA,NA,12
3/7/2004,NA,NA,12
3/8/2004,NA,NA,12
3/9/2004,NA,NA,12
3/10/2004,NA,NA,12
3/11/2004,NA,NA,12
3/12/2004,NA,NA,12
3/13/2004,NA,NA,12
3/14/2004,NA,NA,12
3/15/2004,NA,NA,12
3/16/2004,NA,NA,12
3/17/2004,NA,NA,12
3/18/2004,NA,NA,12
3/19/2004,NA,NA,12
3/20/2004,NA,NA,12
3/21/2004,NA,NA,12
3/22/2004,NA,NA,12
3/23/2004,NA,NA,12
3/24/2004,NA,NA,12
